led1.x,led1.y,led2.x,led2.y,led3.x,led3.y,led4.x,led4.y,temperatura,tempo
99.4864280213,494.775154874,99.7592916365,164.690639846,318.827431344,165.76969339,320.590009868,494.134820123,25,4.30633091927
99.4927096976,494.802229325,99.7776986171,164.677167372,318.850966127,165.752064688,320.587776867,494.12450325,25,4.38785505295
99.5084103881,494.786268228,99.7731781936,164.685427368,318.850890638,165.753523188,320.579787345,494.145030951,25,4.44523191452
99.5037027987,494.78941828,99.7588861128,164.676200427,318.839984282,165.75953434,320.589230117,494.157795149,25,4.50202798843
99.5054519431,494.804031723,99.7450067982,164.670032428,318.835203403,165.771914567,320.57643652,494.134181966,25,4.56561899185
99.5057997691,494.795970616,99.7650559906,164.684974378,318.855262106,165.771595536,320.586812654,494.129512362,25,4.62426304817
99.5194849555,494.799966512,99.7564278384,164.679286512,318.837688771,165.77249532,320.569647232,494.133716136,25,4.68187189102
99.4990379672,494.781945935,99.7575056435,164.686896795,318.84181306,165.779114032,320.57164452,494.128825785,25,4.74167585373
99.5069787561,494.78441386,99.7523992986,164.684642306,318.850150813,165.748991242,320.58507734,494.140718193,25,4.80815601349
99.5102369254,494.778980314,99.7416952494,164.67073978,318.832147456,165.762986446,320.575194874,494.134133166,25,4.85985302925
99.4923942879,494.783787767,99.7434361451,164.658661382,318.853585612,165.764117524,320.585585036,494.137371098,25,4.91406989098
99.4833781322,494.795890991,99.7505056924,164.649643201,318.847670186,165.773307224,320.576227548,494.142055187,25,4.9687359333
99.4741331387,494.805797606,99.7302857517,164.689612565,318.840917439,165.75659639,320.601289549,494.113024418,25,5.02470207214
99.4837125372,494.780721871,99.7615629405,164.670445299,318.836034892,165.755188194,320.580875563,494.121149393,25,5.09104585648
99.4733110549,494.805470255,99.7687233273,164.675218877,318.834754437,165.752827966,320.587530974,494.139768915,25,5.15330195427
99.505170506,494.781432116,99.7470730209,164.664679604,318.835644047,165.768412647,320.592315921,494.136403727,25,5.20324492455
99.5082866449,494.801918025,99.7527338904,164.676293932,318.841149688,165.758043341,320.573557737,494.136063505,25,5.25611805916
99.4966106977,494.78814096,99.7624855876,164.68361661,318.843882662,165.764477135,320.59031242,494.120924148,25,5.32198596001
99.5005567118,494.786922548,99.7614530407,164.679049641,318.842013961,165.760525106,320.609189778,494.139992653,25,5.38196086884
99.497921424,494.777710304,99.7506085706,164.65605639,318.843327941,165.749706433,320.577415721,494.122972545,25,5.4376308918
99.5071272591,494.786277682,99.7627885757,164.691787283,318.834247191,165.767854772,320.577466255,494.127914327,25,5.48756885529
99.4865901988,494.770251271,99.7562938701,164.656668615,318.817061392,165.766864136,320.581393654,494.127864897,25,5.54302597046
99.4993829837,494.788225287,99.7626127862,164.682751801,318.818289613,165.771688999,320.590020624,494.133683367,25,5.60188889503
99.518015186,494.772563201,99.7430827021,164.666476969,318.835867025,165.762142426,320.575383992,494.130528241,25,5.65479302406
99.4990203565,494.789718265,99.7544798434,164.682782341,318.853777282,165.775770979,320.572205816,494.12950138,25,5.70747995377
99.4797768994,494.784851936,99.7691611983,164.682580497,318.845496207,165.762248161,320.56804438,494.13958325,25,5.76918196678
99.5118796318,494.79972948,99.7741643508,164.672472424,318.835042866,165.766174176,320.576189379,494.130755448,25,5.823376894
99.490661767,494.786884807,99.7494304121,164.688680429,318.849293989,165.760718398,320.572003666,494.153186311,25,5.88053703308
99.4983188031,494.794028697,99.7583537883,164.685674285,318.841161798,165.762342649,320.584459444,494.142032073,25,5.93885397911
99.4887150644,494.80728056,99.7498363839,164.690961845,318.83401985,165.76993565,320.587724243,494.134328003,25,5.99741792679
99.4937271288,494.793387987,99.7608927137,164.671848481,318.845996822,165.748582066,320.593441335,494.13993921,25,6.05352497101
